,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
vancouversun,0.03533828,-0.029033802,0.024077741,-0.0014738594,0.0040586917,-0.050351486,0.03319089,0.009727741,-0.012087385,0.007708356,0.01824603,-0.02468167,-0.019242857,-0.038262382,0.010675768,0.03547741,0.0266427,-0.016477935,-0.016418662,0.028148603,0.007010185,0.039169792,0.021077411,-0.006838647,0.0059340997,0.024735589,-0.03507825,0.0057525467,0.021718312,-0.01020781,-0.014976102,0.008550582,-0.0048476676,-0.01872757,-0.021219147,-0.0052049016,-0.008017733,0.0011908547,0.026612459,0.018042196,-0.016789695,-0.0073431237,0.011063761,-0.00014018119,0.020274594,-0.014572069,-0.0032779844,-0.026183473,0.0017416516,0.03990802,-0.016303828,-0.012071887,0.028510189,0.05159795,0.042120177,0.022665374,-0.009717755,-0.030265788,-0.014255,0.0038467448,-0.004305423,-0.02104086,-0.008752461,-0.012849305
bcdisabilitycol,0.06849846,-0.023722101,0.0073472755,-0.020063378,0.026767781,-0.064305216,0.02053626,0.024326153,-0.043999594,-0.01621493,0.03135229,-0.050157044,-0.015000963,0.00059890724,-0.02673118,0.038031884,0.035989475,-0.020140052,0.021042116,0.011419979,0.051977843,0.013009458,0.027563063,-0.055051085,-0.005101383,0.01369507,-0.048842557,-0.0068175136,-0.013455604,-0.0012525404,-0.011446278,0.020295698,-0.03527843,-0.05480608,-0.0116865,-0.035441898,-0.024290835,-0.00952441,0.02164265,0.04003595,-0.046293776,0.00094937533,-0.026973268,-0.050837327,0.007567402,-0.01934465,-0.037540928,-0.032776546,0.011866747,0.07429097,-0.023091668,0.014941448,0.017200043,0.062889114,0.069985576,0.03920868,-0.005653701,-0.008299741,-0.011664157,0.065016404,0.006935551,-0.041438304,0.011039156,-0.01430971
decisiontree007,0.015672442,-0.021820076,0.013696358,0.00040142608,-0.0056600845,-0.017494444,0.015397879,0.012840329,-0.031158887,0.013262216,0.008224921,-0.046388227,-0.021303404,-0.032821298,-0.01281464,0.018049965,0.0106947515,-0.003295664,0.008981882,0.010738857,0.026000766,0.021136273,0.032813054,-0.00516824,-0.008866014,0.02441282,-0.041341417,-0.002703434,-0.0076925876,0.0007324359,-0.018827302,0.0034259483,-0.010581713,-0.017799031,-0.025671853,-0.0057399985,0.008243271,0.005320431,0.0053419466,0.030582363,0.014006756,-0.0011148157,-0.0031968676,-0.032924253,0.00090965274,-0.009599514,0.005933332,-0.010112808,-0.012283295,0.036385275,-0.0137017695,0.011193564,0.026934842,0.020661503,0.02561742,0.036163084,-0.0071191713,-0.02856959,0.0028415308,0.02136176,0.021280002,-0.044843223,-0.0027175082,0.019148136
blockbuster,0.049384885,-0.030072836,0.041503392,-0.011078661,0.010452126,-0.016515136,0.0014286212,-0.014510131,-0.030701213,-0.0040181116,0.024456905,-0.053013414,-0.034234118,-0.014462014,-0.0194942,0.001281288,0.0027599824,-0.029579964,-0.017548263,0.003193581,0.019913465,0.014711004,0.034629572,-0.014494186,-0.011994429,0.041941836,-0.045146327,-0.0046788207,-0.009629982,-0.008156296,-0.019307522,0.025926866,-0.024951529,-0.022446165,0.0027459357,-0.028368002,0.010812833,0.008542477,0.007883382,0.028110202,0.004842027,-0.01316206,-0.016287137,-0.013945519,0.009402956,-0.021893673,0.021370767,-0.02869247,-0.0036817116,0.033420112,-0.0094689755,-6.307008e-05,0.010047899,0.037902907,0.024940807,0.021716459,0.02470385,-0.028966527,-0.020379834,0.03421661,0.027619695,-0.03747957,0.018909274,0.02400315
tkuntzy,0.019913407,-0.026284324,0.016150294,0.00025745202,0.01548085,-0.0117543,0.013222264,0.01003014,-0.011844368,0.000106823834,0.008819215,-0.027784972,-0.009621249,0.0006954388,-0.008107371,-0.0041888314,0.016044507,0.011171778,-0.015688594,0.0153612485,0.008248571,0.031548403,0.03563304,-0.015709126,0.0049445084,0.035166856,-0.018141102,-0.010970548,0.008778612,-0.0002513387,-0.015801812,0.02136056,-0.017921574,-0.0036438091,-0.009319433,-0.008149389,-0.003508199,-0.019674746,-0.0073051574,0.020161167,-0.017951893,0.005967751,0.0035260394,-0.02885256,0.0034342303,-0.019402288,-0.016495617,-0.013559042,0.024020828,0.014960547,-0.01085328,0.0148850465,0.03245608,0.050695628,0.0030314615,0.027816772,-0.0054793055,0.00030286057,-0.001990492,0.00982585,0.020903772,-0.037917446,0.010962164,0.013341865
cknwkidsfund,0.04418448,-0.02622974,0.004699879,0.008051759,-0.008911031,-0.04832655,0.03560506,0.004320924,-0.025938736,-0.005769393,0.015568928,-0.036382746,-0.023559092,-0.027968198,-0.01776743,0.036598638,0.020523341,-0.015664965,0.0044543287,0.0032363567,0.035697296,0.04135851,0.02014911,-0.029355504,-0.010792137,0.033535037,-0.037064392,0.011561753,0.022547796,0.010015943,-0.022558536,0.024306621,-0.024025714,-0.039073125,0.0048786686,-0.03018673,-0.0032486955,-0.007676327,-0.0037127458,0.010148235,0.0015342052,-0.010370047,-0.015091602,-0.004701625,0.002292579,-0.024223546,0.00076441804,-0.013585934,0.02261366,0.032151647,0.012892193,-0.02004688,0.02356117,0.046400998,0.026072524,0.013763448,0.008625685,-0.0158029,-0.03214561,0.007130304,0.009587332,-0.029599747,0.019249346,0.0017705336
ubcpsych,0.05119261,-0.010129378,0.042861644,0.006903903,-0.0022039537,-0.029590422,0.0049094907,0.010288426,-0.008010938,-0.0120978225,0.03917452,-0.05119757,0.005598617,-0.005317098,-0.004120156,0.031045191,0.0115983635,-0.02353992,-0.0050917002,0.036206365,0.017160043,0.019591948,0.03340557,-0.0156195685,-0.010011943,0.02249181,-0.022524418,-0.0071104146,-0.003992856,-0.01159623,-0.023253985,-0.0024841798,-0.029665591,-0.055513285,-0.009966451,-0.027344361,-0.02162394,-0.020540623,0.0026258302,0.031125942,-0.0020700442,0.0029532264,-0.0116793495,-0.034977213,0.013679715,-0.010620136,-0.0013719907,-0.014264954,0.009634584,0.037798908,-0.021593936,-0.007875122,0.0019409233,0.041266423,0.03522305,0.03775222,0.005483438,-0.022126116,0.00032380957,0.02162044,0.0030959933,-0.013958464,0.004732809,-0.0092783
bcchresearch,0.039456576,-0.0077689346,0.01886221,-0.012612033,0.0067639193,-0.05253267,0.0129856095,-0.011432109,-0.024031766,-0.01573655,0.03654716,-0.039149523,0.0060536424,-0.036296114,-0.010746385,0.022571033,0.0031473709,-0.007361578,-0.008762127,0.016628418,0.009114771,0.0051783766,0.029721571,-0.016198294,0.0063682427,0.013086733,-0.024172798,-0.014865239,0.018673228,0.014866089,-0.025481222,0.028514965,-0.028228525,-0.043446764,-0.0047016786,-0.0054736254,-0.015960205,-0.021018997,0.03183549,0.01668286,-0.0054910374,0.0045856168,-0.009066574,-0.012348795,0.014547974,0.009615473,-0.009367321,-0.009706807,0.017957283,0.018284433,-0.019062243,0.015046968,0.029112998,0.028043404,0.03709006,0.021374665,-0.0025162108,-0.016088847,-0.026175318,0.03190948,0.011378091,-0.04371243,0.0012221849,-0.0027524054
trevhal,0.024731306,-0.0014093465,0.032495916,-0.010629627,-0.0027112726,-0.05234288,0.013038949,0.018980805,-0.04007004,0.0067237057,0.036129758,-0.036587305,-0.033056844,-0.021875737,-0.009753357,0.02331695,0.02219848,-0.005978387,-0.0054211905,0.023583496,0.00783704,0.017190212,0.013830751,-0.0001994594,-0.015742231,0.010760423,-0.025217034,0.009651643,-0.013770081,-0.009652604,-0.014713174,0.006176081,-0.028601106,-0.035133738,-0.014994447,0.0033810833,0.0060075927,-0.0016622961,0.013118373,0.0050725527,-0.0037182353,0.0022013877,0.006543073,-0.016885012,-0.0047065145,-0.006162672,0.018141763,-0.021928092,-0.0012742713,0.026349789,0.01067141,-0.0010727263,0.030416267,0.018455876,0.04457796,-0.00048559968,0.025822507,-0.013760512,-0.009340345,0.008644545,0.026040042,-0.012140609,-0.01392176,-0.014610991
paulgfinch,0.03425659,-0.01940196,0.0049324175,0.022427445,0.0010817979,-0.04694935,0.022927787,0.008995452,-0.04075196,0.00818035,0.021071967,-0.048098665,-0.0014137577,-0.002632298,0.012539309,0.022604914,0.0090171145,-0.026716515,0.009608614,0.038894087,0.022504983,0.020732658,0.011184959,-0.022472551,-0.019324053,0.040059865,-0.032383718,0.023178492,-0.014991365,-0.008257169,-0.028021581,-0.0009307563,-0.010947969,-0.021710891,-0.008865047,-0.0064446437,-0.019801363,-0.0066325883,-0.0031376833,0.022460772,-0.018388437,0.016303862,-0.012376609,-0.005517254,0.01949693,-0.00706565,-0.0019963896,-0.001132092,0.014501445,0.053461134,-0.0004992561,0.010104578,0.024894113,0.02740758,0.01788759,0.022997307,0.009073816,-0.010772109,-0.012740079,0.038237672,0.0010911912,-0.026765054,0.013805854,0.006266141
